+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
; Legal Partition Candidates                                                                                                                                                                                                                                                                                                                                                                 ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
; Hierarchy                                                                                                                                                                             ; Input ; Constant Input ; Unused Input ; Floating Input ; Output ; Constant Output ; Unused Output ; Floating Output ; Bidir ; Constant Bidir ; Unused Bidir ; Input only Bidir ; Output only Bidir ;
; m_lab61_soc|sdram|the_lab61soc_sdram_input_efifo_module                                                                                                                               ; 48    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|sdram                                                                                                                                                                     ; 48    ; 1              ; 1            ; 1              ; 40     ; 1               ; 1             ; 1               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|onchip_memory2_0|the_altsyncram|auto_generated                                                                                                                            ; 41    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|onchip_memory2_0                                                                                                                                                          ; 45    ; 1              ; 1            ; 1              ; 32     ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_debug_slave_wrapper|the_lab61soc_nios2_gen2_0_cpu_debug_slave_sysclk               ; 43    ; 0              ; 0            ; 0              ; 48     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_debug_slave_wrapper|the_lab61soc_nios2_gen2_0_cpu_debug_slave_tck                  ; 130   ; 0              ; 1            ; 0              ; 43     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_debug_slave_wrapper                                                                ; 123   ; 0              ; 0            ; 0              ; 50     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_ocimem|lab61soc_nios2_gen2_0_cpu_ociram_sp_ram|the_altsyncram|auto_generated ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_ocimem|lab61soc_nios2_gen2_0_cpu_ociram_sp_ram                               ; 47    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_ocimem                                                                       ; 92    ; 0              ; 6            ; 0              ; 65     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_avalon_reg                                                                   ; 48    ; 0              ; 29           ; 0              ; 68     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_im                                                                       ; 54    ; 38             ; 51           ; 38             ; 47     ; 38              ; 38            ; 38              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_pib                                                                      ; 0     ; 36             ; 0            ; 36             ; 36     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_fifo|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_fifo_cnt_inc                ; 5     ; 0              ; 0            ; 0              ; 5      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_fifo|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_fifo_wrptr_inc              ; 4     ; 2              ; 0            ; 2              ; 4      ; 2               ; 2             ; 2               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_fifo|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_compute_input_tm_cnt        ; 3     ; 0              ; 0            ; 0              ; 2      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_fifo                                                                     ; 115   ; 0              ; 65           ; 0              ; 36     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_dtrace|lab61soc_nios2_gen2_0_cpu_nios2_oci_trc_ctrl_td_mode              ; 9     ; 0              ; 6            ; 0              ; 4      ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_dtrace                                                                   ; 113   ; 0              ; 102          ; 0              ; 72     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_itrace                                                                   ; 24    ; 53             ; 24           ; 53             ; 53     ; 53              ; 53            ; 53              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_dbrk                                                                     ; 98    ; 0              ; 0            ; 0              ; 102    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_xbrk                                                                     ; 64    ; 5              ; 61           ; 5              ; 6      ; 5               ; 5             ; 5               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_break                                                                    ; 51    ; 36             ; 6            ; 36             ; 71     ; 36              ; 36            ; 36              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci|the_lab61soc_nios2_gen2_0_cpu_nios2_oci_debug                                                                    ; 50    ; 1              ; 30           ; 1              ; 7      ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_nios2_oci                                                                                                                  ; 176   ; 0              ; 0            ; 0              ; 69     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|lab61soc_nios2_gen2_0_cpu_register_bank_b|the_altsyncram|auto_generated                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|lab61soc_nios2_gen2_0_cpu_register_bank_b                                                                                                                ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|lab61soc_nios2_gen2_0_cpu_register_bank_a|the_altsyncram|auto_generated                                                                                  ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|lab61soc_nios2_gen2_0_cpu_register_bank_a                                                                                                                ; 44    ; 0              ; 0            ; 0              ; 32     ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu|the_lab61soc_nios2_gen2_0_cpu_test_bench                                                                                                                 ; 318   ; 3              ; 284          ; 3              ; 33     ; 3               ; 3             ; 3               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0|cpu                                                                                                                                                          ; 149   ; 1              ; 32           ; 1              ; 131    ; 1               ; 1             ; 1               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|nios2_gen2_0                                                                                                                                                              ; 149   ; 0              ; 0            ; 0              ; 130    ; 0               ; 0             ; 0               ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc|led                                                                                                                                                                       ; 38    ; 24             ; 24           ; 24             ; 40     ; 24              ; 24            ; 24              ; 0     ; 0              ; 0            ; 0                ; 0                 ;
; m_lab61_soc                                                                                                                                                                           ; 2     ; 0              ; 0            ; 0              ; 31     ; 0               ; 0             ; 0               ; 16    ; 0              ; 0            ; 0                ; 0                 ;
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------+----------------+--------------+----------------+--------+-----------------+---------------+-----------------+-------+----------------+--------------+------------------+-------------------+
